frame_idx,time,node_idx,node_x,node_y,node_z,radial_dist,overlap,normal_force,normal_velocity,tangential_speed,friction_force,cyl_center_x,cyl_center_y,cyl_center_z,cyl_axis_x,cyl_axis_y,cyl_axis_z,cyl_radius
7,0.23332898225066404,39,-0.0016421912198901873,0.0,0.0036731147836929247,0.04293815333980902,6.184625785962683e-05,0.24738503143850732,-0.002840128329115613,0.01841159108123423,0.19790802515080586,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
7,0.23332898225066404,40,-0.0004107309470023546,0.0,0.004569944349742487,0.04290438555212317,9.561404554547792e-05,0.3824561821819117,-0.000295808245020129,0.01952090293401095,0.30596494574552935,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
7,0.23332898225066404,41,0.0008209490002273367,0.0,0.005466546686557705,0.042924380497793846,7.561909987480187e-05,0.30247639949920746,0.0022227925907352918,0.02148577311371677,0.24198111959936597,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
7,0.23332898225066404,42,0.002052792597584803,0.0,0.006362973014949608,0.042998141053485234,1.8585441834140237e-06,0.007434176733656095,0.0047426607027978105,0.0208269398827526,0.005947341386924876,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
8,0.2666616940007589,37,-0.0032479892528640246,0.0,0.0023529719711865298,0.04294954821879158,5.0451378877068576e-05,0.2018055155082743,-0.0023039650697226407,0.02088657272265526,0.16144441240661944,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
8,0.2666616940007589,38,-0.0020520624880787297,0.0,0.0032954847124099028,0.04289992292642538,0.00010007667124326686,0.40030668497306743,0.00012248244925134634,0.02314707371014097,0.32024534797845394,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
8,0.2666616940007589,39,-0.000855883435690678,0.0,0.004237737931792805,0.04290395560931588,9.604398835276473e-05,0.3841759534110589,0.002783162248796602,0.024881657724169594,0.30734076272884714,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
8,0.2666616940007589,40,0.0003405421481529603,0.0,0.005179799438404384,0.04296169398514656,3.830561252209097e-05,0.15322245008836388,0.005487513376105984,0.02503984019618126,0.1225779600706911,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
9,0.2999944057508538,35,-0.004824311945261308,0.0,0.0009227813956602806,0.04296170378665225,3.829581101640056e-05,0.15318324406560224,-0.0064070666223804505,0.02654962090048848,0.1225465952524818,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
9,0.2999944057508538,36,-0.0036698486194434265,0.0,0.0019164222015322172,0.04290242680791217,9.75727897564796e-05,0.3902911590259184,-0.003649487325738077,0.02928079766355781,0.3122329272207347,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
9,0.2999944057508538,37,-0.0025121904303174562,0.0,0.0029063882975588567,0.04289231881192447,0.00010768078574417694,0.4307231429767078,-0.0008177370929016575,0.027082019593992295,0.3445785143813662,0.025,0.0,-0.03,0.0,1.0,0.0,0.029999999329447746
