frame_idx,time,node_idx,node_x,node_y,node_z,radial_dist,overlap,normal_force,normal_velocity,tangential_speed,friction_force,cyl_center_x,cyl_center_y,cyl_center_z,cyl_axis_x,cyl_axis_y,cyl_axis_z,cyl_radius
4,0.13332708533523163,36,0.0059016379350471816,0.0,0.0008689713890422592,0.03629932269590631,0.00020067730409369794,0.10033865204684897,0.01765264764786257,0.07069560620373642,0.08027092163747918,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
4,0.13332708533523163,37,0.007707146970750477,0.0,0.0017222199948960391,0.03612951711960466,0.00037048288039534527,0.18524144019767264,0.0117568943017713,0.07603101814257476,0.1481931521581381,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
4,0.13332708533523163,38,0.009519305504638089,0.0,0.002561039044811557,0.03605375383696504,0.00044624616303496484,0.22312308151748242,-0.0004824607558832107,0.06768551418850752,0.17849846521398594,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
4,0.13332708533523163,39,0.011340077461471323,0.0,0.003381574190141661,0.036068309901775765,0.0004316900982242397,0.21584504911211985,-0.012488736618334804,0.07585774162800195,0.17267603928969588,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
4,0.13332708533523163,40,0.013172245373387475,0.0,0.004176963370196634,0.036165737994891194,0.00033426200510881104,0.16713100255440552,-0.022881868334261337,0.08097812528862877,0.13370480204352442,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
4,0.13332708533523163,41,0.01501712325540733,0.0,0.004943784609819525,0.0363417928968177,0.00015820710318230347,0.07910355159115173,-0.039446402857386355,0.08067978550943761,0.06328284127292139,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,37,0.008818798565715968,0.0,0.002677811713088568,0.03646464943219589,3.535056780411272e-05,0.01767528390205636,0.016407770301815807,0.021734821603130217,0.014140227121645088,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,38,0.010684693377663805,0.0,0.0033889450233584723,0.03632835880499361,0.00017164119500639313,0.08582059750319657,0.016023126652545863,0.016778740822071776,0.06865647800255725,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,39,0.01257429868708441,0.0,0.00403532793864935,0.036232604115757364,0.00026739588424264105,0.13369794212132052,0.014635015852812973,0.021448030671417526,0.10695835369705642,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,40,0.014488830147897038,0.0,0.00460281747913241,0.036164065993108535,0.00033593400689146957,0.16796700344573479,0.011909818292674509,0.01747256109813935,0.13437360275658783,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,41,0.016427750541628733,0.0,0.005080170349212955,0.03611234986131955,0.00038765013868045234,0.19382506934022617,0.008378173908615125,0.018879908608084573,0.15506005547218094,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,42,0.01838860196260277,0.0,0.005456693725471997,0.03606782103136846,0.00043217896863154137,0.21608948431577069,0.0043276115295466525,0.012650315173956112,0.17287158745261655,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,43,0.020367685084488166,0.0,0.005723354695563729,0.03602244317340966,0.0004775568265903418,0.2387784132951709,-0.0025730733813970714,0.015736783801893747,0.19102273063613673,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,44,0.0223590781066027,0.0,0.005873234231740642,0.03597031279669881,0.0005296872033011962,0.2648436016505981,-0.010634322629344403,0.013624714053573583,0.2118748813204785,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,45,0.024350917688637206,0.0,0.006020577151704891,0.03602642483218184,0.000473575167818166,0.236787583909083,-0.01911660162194579,0.012803762618396728,0.1894300671272664,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,46,0.026343197172127374,0.0,0.0061650941753916815,0.03619002922571575,0.00030997077428425446,0.15498538714212723,-0.02673584803552951,0.01602436758438383,0.12398830971370178,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
5,0.16665885666903954,47,0.028335991376225965,0.0,0.006306702206998511,0.03645964157270234,4.0358427297666755e-05,0.020179213648833377,-0.034745388797119386,0.01695783336396326,0.016143370919066702,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
6,0.19999062800284745,41,0.01752179263258845,0.0,0.005646813618085665,0.03642278004975109,7.721995024891765e-05,0.03860997512445882,0.010096752728206336,0.03904119012663661,0.03088798009956706,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
6,0.19999062800284745,42,0.019508295923961607,0.0,0.005851677614803027,0.036269844243593675,0.00023015575640632918,0.11507787820316459,0.010761265641745909,0.030125984542262504,0.09206230256253167,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
6,0.19999062800284745,43,0.0215040862098826,0.0,0.005921878076023944,0.03609158818529135,0.0004084118147086521,0.20420590735432606,0.007572729942855768,0.03250698455948686,0.16336472588346085,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
6,0.19999062800284745,44,0.023499854367046536,0.0,0.00585177278552045,0.03588314435476153,0.0006168556452384732,0.3084278226192366,0.0039033701917277897,0.03359914941313546,0.2467422580953893,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
6,0.19999062800284745,45,0.0254958088738857,0.0,0.005779160130225673,0.0357825952952515,0.0007174047047485074,0.35870235237425374,0.0005785572421237474,0.03160220959730312,0.286961881899403,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
6,0.19999062800284745,46,0.02749182771733359,0.0,0.005703877588582269,0.03579072617639015,0.0007092738236098572,0.3546369118049286,-0.002167707312115134,0.033901066662872896,0.2837095294439429,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
6,0.19999062800284745,47,0.029487940734738736,0.0,0.005625729921346025,0.03590730071262969,0.0005926992873703171,0.2963496436851586,-0.006705390928005225,0.04403286519610642,0.23707971494812688,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
6,0.19999062800284745,48,0.0314841366186325,0.0,0.005544730401399853,0.03613131449307221,0.00036868550692779195,0.18434275346389598,-0.009432656633176164,0.04670707087782641,0.14747420277111678,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
6,0.19999062800284745,49,0.033480395691326305,0.0,0.005461035860344442,0.03646096783369992,3.903216630008616e-05,0.01951608315004308,-0.012613914537682834,0.04256960418321709,0.015612866520034463,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
7,0.23332239933665536,42,0.020685345962017,0.0,0.006209167967618518,0.036465327152991424,3.467284700858081e-05,0.017336423504290405,0.0022323146161761145,0.0343107111440986,0.013869138803432324,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
7,0.23332239933665536,43,0.022681982437394874,0.0,0.006176209598297224,0.03625039787809891,0.00024960212190109493,0.12480106095054747,0.0032342582826903683,0.03966353337266909,0.09984084876043797,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
7,0.23332239933665536,44,0.024669731045909263,0.0,0.00598290739469767,0.03598442304883357,0.000515576951166434,0.25778847558321705,0.0013722809173814074,0.0469539449665544,0.20623078046657364,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
7,0.23332239933665536,45,0.026657008373423826,0.0,0.005786786745566048,0.03582512780608352,0.000674872193916487,0.3374360969582435,0.0019338067427650439,0.05730029746937969,0.2699488775665948,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
7,0.23332239933665536,46,0.02864410510812651,0.0,0.005587812479012101,0.03577389969070192,0.0007261003092980875,0.3630501546490438,0.0005105918349543959,0.0366112661802575,0.29044012371923505,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
7,0.23332239933665536,47,0.030630812182354535,0.0,0.005385976396572192,0.03583117876056712,0.0006688212394328832,0.3344106197164416,0.0003899738460672415,0.03610985894204645,0.2675284957731533,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
7,0.23332239933665536,48,0.03261735521753036,0.0,0.0051813885312248275,0.03599658594221173,0.0005034140577882748,0.25170702889413743,0.000819983750961914,0.04256016518074763,0.20136562311530995,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
7,0.23332239933665536,49,0.034603802979499346,0.0,0.004974095894110242,0.03626872502969272,0.0002312749703072825,0.11563748515364125,0.00048627456527245913,0.03946911841486144,0.092509988122913,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
8,0.26665417067046326,33,0.005210240078011245,0.0,0.0006682134691687105,0.03649895772704275,1.0422729572537315e-06,0.0005211364786268657,-0.004471307887824514,0.03561109543231069,0.0004169091829014926,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
8,0.26665417067046326,42,0.02197829769977005,0.0,0.006340204400075282,0.03646561586797165,3.4384132028351944e-05,0.017192066014175972,0.0046980504880488674,0.03126172243356171,0.013753652811340777,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
8,0.26665417067046326,43,0.023972917006963426,0.0,0.006252880355789886,0.03626742661901725,0.0002325733809827521,0.11628669049137605,0.0008092368160866384,0.04346662787575499,0.09302935239310084,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
8,0.26665417067046326,44,0.025952344754988213,0.0,0.0059918331380459655,0.036004430465837074,0.0004955695341629304,0.2477847670814652,-0.0007650384317767795,0.04379128735831564,0.19822781366517217,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
8,0.26665417067046326,45,0.027931514856126424,0.0,0.005727844475821198,0.03584790998426766,0.000652090015732347,0.3260450078661735,-8.235123779684475e-05,0.036135287761639386,0.26083600629293885,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
8,0.26665417067046326,46,0.029910690799250374,0.0,0.0054607306617331245,0.03579913830233658,0.0007008616976634241,0.35043084883171205,-0.00016176881785684005,0.025937536327297304,0.28034467906536964,0.025,0.0,-0.03,0.0,1.0,0.0,0.025
