run_id,E,tension,cyl_rad,approach_deg,angular_span,num_contacts
20260826_173130,6740000.0,2.5,0.025,65.0,25.367371486266507,9
20260826_173505,6740000.0,2.5,0.025,65.0,25.367371486266507,9
