run_id,sol,E,tension,cyl_rad,approach_deg,geometric_fc,angular_span,num_contacts,total_energy
20260116_093517,approach_angle,50000000.0,2.0,0.01,12.86,False,26.904087103032452,25,35.654939574829505
20260116_093916,approach_angle,50000000.0,2.0,0.01,25.71,False,28.44797117199596,18,206.4806297403299
20260116_094317,approach_angle,50000000.0,2.0,0.01,38.57,False,41.89312823396813,17,605.2631245315075
20260116_094713,approach_angle,50000000.0,2.0,0.01,51.43,False,40.94177932702098,13,838.0933441712859
20260116_095107,approach_angle,50000000.0,2.0,0.01,64.29,False,0.0,1,1611.6724662186161
20260116_095917,approach_angle,50000000.0,2.0,0.015,0.0,False,34.74741940409643,14,17.219935696210126
20260116_100332,approach_angle,50000000.0,2.0,0.015,12.86,False,160.68162756143428,40,22.415199797064222
20260116_100744,approach_angle,50000000.0,2.0,0.015,25.71,False,173.39551294995098,33,206.4806297403299
20260116_101140,approach_angle,50000000.0,2.0,0.015,38.57,True,183.42830709000728,26,605.2631245315075
20260116_101535,approach_angle,50000000.0,2.0,0.015,51.43,False,39.26259704346751,16,736.4006292147276
20260116_101942,approach_angle,50000000.0,2.0,0.015,64.29,False,0.8147262611888664,2,1156.297336684398
20260116_102848,approach_angle,50000000.0,3.0,0.01,0.0,False,157.96935377942742,29,2.704135445602687
20260116_103258,approach_angle,50000000.0,3.0,0.01,12.86,False,38.20574872777598,20,194.7489198769772
20260116_103656,approach_angle,50000000.0,3.0,0.01,25.71,False,51.85623254486637,17,856.797580851405
20260116_104055,approach_angle,50000000.0,3.0,0.01,38.57,False,71.78011273003,19,969.079720105762
20260116_104458,approach_angle,50000000.0,3.0,0.01,51.43,False,0.6996049037204557,3,1471.2996282646325
20260116_105656,approach_angle,50000000.0,3.0,0.015,0.0,False,34.70303089920833,14,20.20767879836908
20260116_110116,approach_angle,50000000.0,3.0,0.015,12.86,False,175.0993659559342,43,135.4718124446045
20260116_110529,approach_angle,50000000.0,3.0,0.015,25.71,True,197.1967391431199,32,856.797580851405
20260116_110921,approach_angle,50000000.0,3.0,0.015,38.57,True,200.67122091255305,28,828.8168956157875
20260116_111322,approach_angle,50000000.0,3.0,0.015,51.43,False,1.5135204075592128,6,1459.400833827605
20260116_111715,approach_angle,50000000.0,3.0,0.015,64.29,False,0.0,1,2384.0410735267765
20260116_112507,approach_angle,50000000.0,5.0,0.01,0.0,False,176.58584606377664,21,999.7802900398129
20260116_112912,approach_angle,50000000.0,5.0,0.01,12.86,False,39.6164956576373,22,686.805254619041
20260116_113305,approach_angle,50000000.0,5.0,0.01,25.71,False,75.80603006839061,18,1347.053955555353
20260116_113704,approach_angle,50000000.0,5.0,0.01,38.57,False,71.06091170235845,17,1267.5891139086411
20260116_114105,approach_angle,50000000.0,5.0,0.01,51.43,False,19.794706811270657,6,5339.655497120223
20260116_114452,approach_angle,50000000.0,5.0,0.01,64.29,False,6.983491043047991,2,6018.43067057512
20260116_115345,approach_angle,50000000.0,5.0,0.015,0.0,True,190.79658472280798,38,1144.6686014572895
20260116_115754,approach_angle,50000000.0,5.0,0.015,12.86,True,195.69199056230218,37,657.898429881505
20260116_120205,approach_angle,50000000.0,5.0,0.015,25.71,True,204.09696067400577,33,1220.818791777767
20260116_120607,approach_angle,50000000.0,5.0,0.015,38.57,True,204.91651004735218,28,1048.6175179928514
20260116_121016,approach_angle,50000000.0,5.0,0.015,51.43,False,21.323392256950797,7,6012.056368072807
20260116_121421,approach_angle,50000000.0,5.0,0.015,64.29,False,11.737978232996568,4,5026.955060703711
20260116_122345,nonuniform_tendon,10000000.0,0.1,0.01,0.0,False,0.0,1,243.78575568149748
20260116_141328,approach_angle,20000000.0,3.0,0.015,45.0,False,95.03403484958773,28,502.0576142261469
20260116_142914,approach_angle,20000000.0,3.0,0.015,45.0,False,95.03403484958773,28,502.0576142261469
20260116_143403,approach_angle,20000000.0,3.0,0.015,45.0,False,95.03403484958773,28,502.0576142261469
20260116_144004,approach_angle,20000000.0,3.0,0.015,45.0,False,95.03403484958773,28,502.0576142261469
20260116_144635,approach_angle,20000000.0,3.0,0.015,45.0,False,95.03403484958773,28,502.0576142261469
20260116_145048,approach_angle,20000000.0,3.0,0.015,45.0,False,95.03403484958773,28,502.0576142261469
20260116_155336,approach_angle,20000000.0,3.0,0.015,45.0,False,95.03403484958773,28,502.0576142261469
20260122_101018,approach_angle,20000000.0,3.0,0.015,45.0,False,94.82696098149438,28,509.70531285422874
20260122_102448,approach_angle,20000000.0,3.0,0.015,45.0,False,94.82696098149438,28,509.70531285422874
