frame_idx,time,node_idx,node_x,node_y,node_z,radial_dist,overlap,normal_force,normal_velocity,tangential_speed,friction_force,cyl_center_x,cyl_center_y,cyl_center_z,cyl_axis_x,cyl_axis_y,cyl_axis_z,cyl_radius
6,0.19999961275337513,76,0.07729738814572983,0.0,-0.02068984419447361,0.00931015580552639,0.000689844194473611,1.379688388947222,-0.1744919483203811,0.11993493258582666,0.8278130333683332,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
6,0.19999961275337513,77,0.0779486932800491,0.0,-0.021754708869953714,0.008245291130046285,0.0017547088699537156,3.5094177399074313,-0.18609277613460282,0.12011207017317543,2.105650643944459,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
6,0.19999961275337513,78,0.07859524234571082,0.0,-0.022822443194093954,0.007177556805906045,0.0028224431940939553,5.644886388187911,-0.18468730055919363,0.1282728747907062,3.3869318329127465,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
6,0.19999961275337513,79,0.07923704057211114,0.0,-0.023893104542664998,0.006106895457335001,0.0038931045426649994,7.786209085329999,-0.18869545463623574,0.13312545551998634,4.671725451197999,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
6,0.19999961275337513,80,0.0798879618578565,0.0,-0.02496020207713827,0.00503979792286173,0.00496020207713827,9.92040415427654,-0.19366267063204642,0.13745554801394996,5.952242492565923,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
7,0.23333288154560433,71,0.07091350049630837,0.0,-0.02019702268350111,0.00980297731649889,0.0001970226835011097,0.39404536700221937,-0.1259447145174675,0.09146852073037687,0.2364272202013316,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
7,0.23333288154560433,72,0.07141960997369586,0.0,-0.02133809639813435,0.00866190360186565,0.0013380963981343506,2.676192796268701,-0.12385920738348355,0.09813386822525257,1.6057156777612207,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
7,0.23333288154560433,73,0.07192070388317595,0.0,-0.022481305039693786,0.007518694960306212,0.002481305039693788,4.962610079387575,-0.13736668928195778,0.0980147867241575,2.977566047632545,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
7,0.23333288154560433,74,0.07241680716319071,0.0,-0.02362679898118332,0.006373201018816679,0.003626798981183321,7.253597962366642,-0.1233798116165658,0.10983006588503834,4.352158777419985,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
7,0.23333288154560433,75,0.07290780177174788,0.0,-0.024774386949768388,0.005225613050231611,0.004774386949768389,9.548773899536778,-0.1412804691204976,0.10789644291061505,5.729264339722067,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
7,0.23333288154560433,76,0.07339371230553421,0.0,-0.025924193662215874,0.004075806337784125,0.005924193662215875,11.848387324431751,-0.13079618452115888,0.11810269789671748,7.10903239465905,0.025,0.0,-0.03,0.0,1.0,0.0,0.01
