frame_idx,time,node_idx,node_x,node_y,node_z,radial_dist,overlap,normal_force,normal_velocity,tangential_speed,friction_force,cyl_center_x,cyl_center_y,cyl_center_z,cyl_axis_x,cyl_axis_y,cyl_axis_z,cyl_radius
7,0.23333288154560433,80,0.04954713222195839,0.0,-0.015589194369779033,0.014410805630220966,0.0005891943697790333,1.1783887395580666,-0.11379834821320672,0.2237385233341535,0.7070332437348399,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
8,0.26666615033783353,78,0.04334589925394289,0.0,-0.016114365370296427,0.013885634629703571,0.001114365370296428,2.228730740592856,-0.06831932697225274,0.18277406082305608,1.3372384443557135,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
8,0.26666615033783353,79,0.042943419156868064,0.0,-0.017295955907989755,0.012704044092010244,0.002295955907989755,4.59191181597951,-0.05601723405797466,0.18585317631107143,2.755147089587706,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
8,0.26666615033783353,80,0.04255044572261953,0.0,-0.018482572037798017,0.011517427962201982,0.003482572037798018,6.965144075596036,-0.06555744261200569,0.1963099396680886,4.179086445357621,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
9,0.29999941913006273,77,0.041469058410461286,0.0,-0.015759689788072528,0.014240310211927471,0.0007596897880725283,1.5193795761450566,0.003059733458396753,0.0011415389532783,0.9116277456870339,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
9,0.29999941913006273,78,0.04096452744376574,0.0,-0.01690126742279508,0.013098732577204918,0.0019012674227950818,3.8025348455901637,0.0018371464281112953,0.00017348265646507788,2.281520907354098,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
9,0.29999941913006273,79,0.040452229728171765,0.0,-0.018039424193290358,0.011960575806709641,0.0030394241932903583,6.078848386580717,-0.002880459646559688,0.0023543716522586963,3.6473090319484296,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
9,0.29999941913006273,80,0.03994219677167728,0.0,-0.019180596906245084,0.010819403093754915,0.004180596906245084,8.361193812490168,0.006237109951885378,0.0011754599917514342,5.0167162874941,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
10,0.3333326879222919,77,0.04145072987101436,0.0,-0.015724774647821776,0.014275225352178223,0.0007247746478217763,1.4495492956435527,0.007954875262528669,0.002374305891696822,0.8697295773861317,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
10,0.3333326879222919,78,0.04094186726971333,0.0,-0.016864636778753897,0.013135363221246102,0.0018646367787538976,3.729273557507795,-0.013760659374494832,0.007632220017496906,2.237564134504677,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
10,0.3333326879222919,79,0.04042531910253898,0.0,-0.018000889338720186,0.011999110661279812,0.003000889338720187,6.001778677440374,0.01990492753540833,0.008149982294659713,3.601067206464224,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
10,0.3333326879222919,80,0.039910553709365186,0.0,-0.019139765068310506,0.010860234931689493,0.004139765068310507,8.279530136621013,-0.02276757739650206,0.011312961123438476,4.967718081972607,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
11,0.3666659567145211,77,0.04132487987966263,0.0,-0.015540409716815232,0.014459590283184767,0.0005404097168152325,1.080819433630465,-0.1902600478335634,0.09898457131650165,0.648491660178279,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
11,0.3666659567145211,78,0.04081108469016189,0.0,-0.016677669125015893,0.013322330874984106,0.0016776691250158932,3.355338250031786,-0.015283141853762573,0.02242657282037059,2.0132029500190716,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
11,0.3666659567145211,79,0.040289850280599934,0.0,-0.01781078115008562,0.01218921884991438,0.0028107811500856193,5.621562300171239,0.24094372454987315,0.09516514959083335,3.3729373801027434,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
11,0.3666659567145211,80,0.03976953061753317,0.0,-0.01894901172200938,0.011050988277990618,0.003949011722009382,7.898023444018763,-0.2671326680255476,0.1380586137543912,4.7388140664112575,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
12,0.39999922550675027,78,0.04010614677978564,0.0,-0.01574987811047871,0.014250121889521287,0.0007498781104787119,1.499756220957424,0.45754819135264396,0.17863847327189308,0.8998537325744543,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
12,0.39999922550675027,79,0.0395616148210228,0.0,-0.016860851986167234,0.013139148013832765,0.0018608519861672349,3.7217039723344696,-1.4203673026192711,0.7512963753901437,2.2330223834006815,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
12,0.39999922550675027,80,0.0390068775611568,0.0,-0.01800095980416646,0.01199904019583354,0.00300095980416646,6.00191960833292,2.056977668982586,0.9439153718080652,3.6011517649997518,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
13,0.43333249429897946,79,0.038357952132191675,0.0,-0.015666443894587472,0.014333556105412527,0.0006664438945874727,1.3328877891749455,31.786488905565385,17.862887403348314,0.7997326735049674,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
13,0.43333249429897946,80,0.037826367212871505,0.0,-0.01662336916945716,0.01337663083054284,0.0016233691694571596,3.2467383389143194,-42.23077958566078,23.46519614424886,1.9480430033485916,0.025,0.0,-0.03,0.0,1.0,0.0,0.015
